query,top_k,http_status,source,fallback_reason,latency_ms,has_filters,attribute_count,first_selected_field,first_selected_value_number,first_selected_value_string,first_top_similarity,first_margin,first_selected_score,error
celu color negro,1,200,semantic,,5236,True,1,color,133.0,,1.0,,0.78,
celu color negro,3,200,semantic,,2645,True,1,color,133.0,,1.0,0.14313642907297175,0.790019550035108,
celular rojo barato,1,200,semantic,,3250,True,1,color,58.0,,0.9999993448691407,,0.7799994889979297,
celular rojo barato,3,200,semantic,,2806,True,1,color,487.0,,0.9999993448691407,0.0,0.7799994889979297,
smartphone con buena bateria,1,200,semantic,,2541,True,1,cellphone_battery,6000.0,,0.8505497237804462,,0.6634287845487481,
smartphone con buena bateria,3,200,semantic,,2941,True,1,cellphone_battery,6000.0,,0.8505702403083882,0.006463294353947657,0.6638972180453191,
celu 256gb barato,1,200,fallback,empty_embedding_matches,2767,False,0,,,,,,,
celu 256gb barato,3,200,fallback,empty_embedding_matches,3251,False,0,,,,,,,
iphone color azul,1,200,semantic,,3489,True,1,color,343.0,,0.9999993174041643,,0.7799994675752482,
iphone color azul,3,200,semantic,,2087,True,1,color,343.0,,1.0,7.257063291410404e-07,0.780000050799443,
samsung negro 128gb,1,200,semantic,,2394,True,1,color,133.0,,1.0,,0.78,
samsung negro 128gb,3,200,semantic,,2894,True,1,color,133.0,,1.0,0.14313642907297175,0.790019550035108,
celular con mucho ram,1,200,semantic,,2734,True,1,cellphone_battery,5000.0,,0.3968311362794843,,0.3095282862979978,
celular con mucho ram,3,200,semantic,,2748,True,1,cellphone_battery,5000.0,,0.3968311362794843,0.022753926926992296,0.31112106118288724,
celu con envio gratis,1,200,fallback,empty_embedding_matches,2452,False,0,,,,,,,
celu con envio gratis,3,200,fallback,empty_embedding_matches,2515,False,0,,,,,,,
equipo premium premium,1,200,semantic,,3263,True,1,movistar_screentechnology,103.0,,0.48551962975144125,,0.37870531120612416,
equipo premium premium,3,200,semantic,,3252,True,1,movistar_screentechnology,103.0,,0.48551962975144125,,0.37870531120612416,
celular 5g negro,1,200,semantic,,2714,True,1,color,133.0,,1.0,,0.78,
celular 5g negro,3,200,semantic,,3295,True,1,color,133.0,,1.0,0.14313642907297175,0.790019550035108,
motorola azul,1,200,semantic,,2283,True,1,color,343.0,,1.0,,0.78,
motorola azul,3,200,semantic,,2431,True,1,color,343.0,,1.0,7.257063291410404e-07,0.780000050799443,
xiaomi barato,1,200,fallback,empty_embedding_matches,3498,False,0,,,,,,,
xiaomi barato,3,200,fallback,empty_embedding_matches,3299,False,0,,,,,,,
celu con pantalla amoled,1,200,semantic,,2349,True,1,movistar_screentechnology,103.0,,0.8098129040936453,,0.6316540651930433,
celu con pantalla amoled,3,200,semantic,,2427,True,1,movistar_screentechnology,103.0,,0.8098114365733662,0.11353817069041183,0.6396005924755545,
telefono para gaming,1,200,fallback,empty_embedding_matches,2669,False,0,,,,,,,
telefono para gaming,3,200,fallback,empty_embedding_matches,3244,False,0,,,,,,,
celu de oferta negro,1,200,semantic,,2489,True,1,color,133.0,,1.0,,0.78,
celu de oferta negro,3,200,semantic,,2319,True,1,color,133.0,,1.0,0.14313642907297175,0.790019550035108,
celular con 8gb ram y 256gb,1,200,ia,,1755,False,0,,,,,,,
celular con 8gb ram y 256gb,3,200,ia,,2098,False,0,,,,,,,
smartphone bateria 5000,1,200,ia,,2000,False,0,,,,,,,
smartphone bateria 5000,3,200,ia,,2513,False,0,,,,,,,
equipo con promo,1,200,fallback,empty_embedding_matches,2350,False,0,,,,,,,
equipo con promo,3,200,fallback,empty_embedding_matches,2446,False,0,,,,,,,
celular negro absoluto,1,200,semantic,,2641,True,1,color,583.0,,1.0,,0.78,
celular negro absoluto,3,200,semantic,,2275,True,1,color,583.0,,1.0,0.14310409479684993,0.7900172866357795,
mejor celu economico,1,200,semantic,,2557,True,1,color,142.0,,0.6173315696361652,,0.4815186243162089,
mejor celu economico,3,200,semantic,,2341,True,1,color,142.0,,0.6173315696361652,4.4392454010666604e-05,0.4815217317879896,
